date,symbol,action,qty,price,pnl,reason,stop_price,take_price,confidence,buy_signals,sell_signals,rsi,ma_short,ma_long,macd,macd_signal,trend,atr,macd_hist,macd_hist_prev,entry_price,entry_date
2018-12-18,SLVRUB_TOM,BUY,63,31.42,0.0,signal,30.98714285714286,32.06928571428571,0.6699999999999999,2,0,64.44444444444456,30.845499999999998,30.8286,0.13608514226569923,0.07008640862821963,up,0.21642857142857125,0.0659987336374796,,,
2018-12-20,SLVRUB_TOM,SELL,63,32.06928571428571,40.90499999999976,take_profit,31.641428571428573,32.06928571428571,0.0,2,3,88.40579710144934,30.995000000000005,30.880399999999998,0.24265154209084372,0.12268827370793407,,,0.11996326838290965,0.09044419193594808,31.42,2018-12-18
2019-06-27,SLVRUB_TOM,BUY,65,30.7,0.0,signal,30.13142857142857,31.552857142857142,0.6699999999999999,2,0,49.425287356321846,30.569000000000006,30.5614,0.09838022698368576,0.0424811239030249,up,0.2842857142857141,0.05589910308066086,,,
2019-07-08,SLVRUB_TOM,SELL,65,30.575714285714287,-8.078571428571273,stop_loss,30.575714285714287,31.552857142857142,0.0,1,2,47.95081967213112,30.7385,30.5006,0.07461850790187441,0.08028229363779205,,,-0.005663785735917637,0.02115170664948901,30.7,2019-06-27
2019-09-06,SLVRUB_TOM,BUY,43,37.4,0.0,signal,35.72714285714286,39.90928571428571,0.6,2,0,59.32666060054594,36.9105,33.63,1.72977030812811,1.6564869581805415,up,0.836428571428571,0.07328334994756847,,,
2019-09-27,SLVRUB_TOM,SELL,43,35.54,-79.97999999999998,stop_loss,35.832857142857144,39.90928571428571,0.0,2,1,33.64312267657991,37.669,34.611999999999995,0.465398330176896,0.9666504187023639,,,-0.5012520885254679,-0.4196541211019358,37.4,2019-09-06
2020-01-24,SLVRUB_TOM,BUY,55,36.0,0.0,signal,35.43285714285714,36.85071428571429,0.82,2,0,52.824858757062195,35.118,35.0388,0.19867375985349156,0.13181456238499603,up,0.28357142857142953,0.06685919746849553,,,
2020-01-29,SLVRUB_TOM,SELL,55,35.0,-55.0,stop_loss,35.95285714285714,36.85071428571429,0.0,2,0,42.9158110882957,35.284,35.0406,0.1936680850565935,0.1672397039639735,,,0.026428381092619996,0.11527218522328989,36.0,2020-01-24
2020-02-18,SLVRUB_TOM,BUY,53,37.0,0.0,signal,35.67285714285715,38.99071428571428,0.87,2,0,55.69476082004556,35.827999999999996,35.085,0.3007551698580144,0.24965385791188932,up,0.663571428571428,0.051101311946125105,,,
2020-02-28,SLVRUB_TOM,SELL,53,36.84,-8.47999999999982,stop_loss,37.11857142857143,38.99071428571428,0.77,0,2,49.53271028037384,36.418,35.49100000000001,0.43873393665602123,0.4702796539779247,,,-0.03154571732190348,,37.0,2020-02-18
